Country,AF,Temp
Estonia,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",6.961749999999999
Finland,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",4.064125
France,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",13.584625
Germany,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",9.23525
Global,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",10
Greece,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",17.1535
Guatemala,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",24.291333333333334
Honduras,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712,",25.732333333333333
Hong Kong,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",23.690375000000003
Hungary,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",12.3015
India,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",25.413249999999998
Ireland,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",9.97475
Israel,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",21.222375
Italy,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",14.165
Japan,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",12.964749999999999
Latvia,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",7.322375000000001
Lithuania,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",7.803999999999999
Luxembourg,"[[0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007], [0.876, 0.163, 0.138, 124.007",9.90025
Malaysia,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",26.9735
Mexico,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",22.219222222222225
Netherlands,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",9.8565
New Zealand,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",11.0885
Norway,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",1.7353750000000001
Paraguay,"[[0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712, 134.062], [0.811, 0.673, 0.0712,",22.817749999999997
Peru,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",19.97625
Phillipines,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",27.416750000000004
Poland,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",9.257875
Portugal,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",15.88925
Singapore,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",27.602874999999997
South Korea,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",13.7605
Spain,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",14.858875000000001
Sweden,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",4.199750000000001
Taiwan,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",23.015
Turkey,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",14.026625
United States,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",11.297111111111112
Uruguay,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",16.754375
